Title,Year,Score,Genre,Vote,Director,Runtime,Revenue,Oscar,Guild,Globe,win,nominee
3 Ninjas: High Noon at Mega Mountain,1998,2.8,"Action, Adventure, Comedy",9607,Sean McNamara,93,0.38,-1.0,-1.0,-1.0,-1.0,False
3 Women,1977,7.9,"Drama, Mystery, Thriller",11604,Robert Altman,124,,-1.0,-1.0,-1.0,-1.0,False
3-Iron,2004,8.1,"Crime, Drama, Romance",43827,Ki-duk Kim,88,0.24,-1.0,-1.0,-1.0,-1.0,False
30 Days of Night,2007,6.6,"Horror, Thriller",152864,David Slade,113,39.57,-1.0,-1.0,-1.0,-1.0,False
30 Minutes or Less,2011,6.1,"Action, Comedy, Crime",85586,Ruben Fleischer,83,37.05,-1.0,-1.0,-1.0,-1.0,False
300,2006,7.7,"Action, Fantasy",675043,Zack Snyder,117,210.61,-1.0,0.0,-1.0,0.0,True
3000 Miles to Graceland,2001,5.9,"Action, Comedy, Crime",40995,Demian Lichtenstein,125,15.74,-1.0,-1.0,-1.0,-1.0,False
300: Rise of an Empire,2014,6.2,"Action, Fantasy, War",255181,Noam Murro,102,106.58,-1.0,-1.0,-1.0,-1.0,False
3096 Tage,2013,6.4,"Biography, Crime, Drama",8262,Sherry Hormann,111,,-1.0,-1.0,-1.0,-1.0,False
31,2016,5.1,"Horror, Thriller",14150,Rob Zombie,102,0.78,-1.0,-1.0,-1.0,-1.0,False
36,2004,7.2,"Action, Crime, Drama",15168,Olivier Marchal,111,,-1.0,-1.0,-1.0,-1.0,False
360,2011,6.2,"Drama, Thriller",14787,Fernando Meirelles,110,0.1,-1.0,-1.0,-1.0,-1.0,False
3:10 to Yuma,2007,7.7,"Action, Adventure, Crime",263354,James Mangold,122,53.61,0.0,-1.0,-1.0,0.0,True
3:10 to Yuma,1957,7.6,"Drama, Thriller, Western",16109,Delmer Daves,92,,-1.0,-1.0,-1.0,-1.0,False
"4 luni, 3 saptamâni si 2 zile",2007,7.9,Drama,50743,Cristian Mungiu,113,1.19,-1.0,-1.0,-1.0,-1.0,False
4.3.2.1.,2010,5.8,"Crime, Thriller",9843,Noel Clarke,117,,-1.0,-1.0,-1.0,-1.0,False
40 Days and 40 Nights,2002,5.6,"Comedy, Romance",66249,Michael Lehmann,96,37.95,-1.0,-1.0,-1.0,-1.0,False
400 Days,2015,4.4,"Mystery, Sci-Fi, Thriller",9100,Matt Osterman,91,,-1.0,-1.0,-1.0,-1.0,False
42,2013,7.5,"Biography, Drama, Sport",75463,Brian Helgeland,128,95.0,-1.0,-1.0,-1.0,-1.0,False
42nd Street,1933,7.6,"Comedy, Musical, Romance",9231,Lloyd Bacon,89,2.3,-1.0,-1.0,-1.0,-1.0,False
44 Inch Chest,2009,5.8,"Crime, Drama",6222,Malcolm Venville,95,,-1.0,-1.0,-1.0,-1.0,False
45 Years,2015,7.1,"Drama, Romance",26788,Andrew Haigh,91,4.25,0.0,-1.0,-1.0,0.0,True
47 Metres Down,2017,5.6,"Adventure, Drama, Horror",35527,Johannes Roberts,89,44.31,-1.0,-1.0,-1.0,-1.0,False
47 Ronin,2013,6.3,"Action, Adventure, Drama",131945,Carl Rinsch,128,38.36,-1.0,-1.0,-1.0,-1.0,False
48 Hrs.,1982,6.9,"Action, Comedy, Crime",60858,Walter Hill,96,78.87,-1.0,-1.0,0.0,0.0,True
5 Centimetres Per Second,2007,7.7,"Animation, Drama, Romance",40886,Makoto Shinkai,63,,-1.0,-1.0,-1.0,-1.0,False
5 Days of War,2011,5.6,"Action, Drama, War",12939,Renny Harlin,113,0.02,-1.0,-1.0,-1.0,-1.0,False
5 to 7,2014,7.1,"Comedy, Drama, Romance",15612,Victor Levin,95,0.12,-1.0,-1.0,-1.0,-1.0,False
